Prompt,Prompt RU origin,Prompt RU,Job,Job RU,Metric
"Identify the potential risks that could affect your project <include details of your project’s goals and objectives>, and develop a detailed plan for managing each risk.",Определи потенциальные риски для вашего проекта и разработай план управления каждым риском.,Определи потенциальные риски для твоего проекта и разработай план управления каждым риском.,Legal Service,Юриспруденция,7.27
"I’m considering <describe the decision or options you’re considering, including any factors, criteria, or concerns you have>. Could you provide me with a framework to make an informed decision, weigh the pros and cons, and consider long-term consequences? Also, please provide me with guidance on how to evaluate these options and make a decision that aligns with my goals and values.",Предоставь схему для принятия решения по вопросу <опишите решение>.,Предоставьте схему для принятия решения по вопросу <опишите решение>.,Legal Service,Юриспруденция,7.27
Provide me with an overview of the tax implications of different investment options and how I can optimize my investments to minimize taxes.,Предоставь обзор налоговых последствий различных вариантов инвестирования.,Предоставь обзор налоговых последствий различных вариантов инвестирования.,Legal Service,Юриспруденция,7.27
Identify commonly overlooked tax deductions and benefits that <industry> small businesses with <the current revenue and profit margin> can use to reduce their tax burden and maximize their savings.,Выяви часто упускаемые из виду налоговые вычеты и льготы для <отрасль> малого бизнеса.,Выявь часто упускаемые из виду налоговые вычеты и льготы для <отрасль> малого бизнеса.,Legal Service,Юриспруденция,7.27
Draft a guide for legal professionals on how to effectively use social media for networking and brand building.,Составить руководство для юристов по эффективному использованию социальных сетей для налаживания контактов и создания бренда.,Составь руководство для юристов по эффективному использованию социальных сетей для налаживания контактов и создания бренда.,Legal Service,Юриспруденция,7.27
"Craft an FAQ section for a family law firm’s website, covering topics like divorce, child custody, and alimony.","Составить раздел часто задаваемых вопросов для сайта фирмы, занимающейся семейным правом, по таким темам, как развод, опека над детьми и алименты.","Составь раздел часто задаваемых вопросов для сайта фирмы, занимающейся семейным правом, по таким темам, как развод, опека над детьми и алименты.",Legal Service,Юриспруденция,7.27
"I want you to act as a senior market research analyst in <niche> and provide me with a comprehensive analysis of the competitive landscape for <your target audience & their level of detail and technical knowledge they have about the industry>, addressing the following points: \nIdentify and analyze the major players in the niche, including their market share, revenue, and pricing strategies. \nExplore the emerging trends and disruptive technologies that will likely impact the competitive landscape over the next 3-5 years. \nEvaluate the regulatory and legal factors that could impact the niche.","Я хочу, чтобы вы выступили в роли старшего аналитика по исследованию рынка в <нише> и предоставили мне всесторонний анализ конкурентной среды для <вашей целевой аудитории и уровня ее детализации и технических знаний, которыми она обладает в данной отрасли>, рассмотрев следующие пункты: \nОпределите и проанализируйте основных игроков в данной нише, включая их долю рынка, доходы и ценовые стратегии. \nИсследовать новые тенденции и разрушительные технологии, которые, вероятно, повлияют на конкурентную среду в ближайшие 3-5 лет. \nОценить нормативные и правовые факторы, которые могут повлиять на данную нишу.","Я хочу, чтобы вы выступили в роли старшего аналитика по исследованию рынка в <нише> и предоставили мне всесторонний анализ конкурентной среды для <вашей целевой аудитории и уровня ее детализации и технических знаний, которыми она обладает в данной отрасли>, рассмотрев следующие пункты: \nОпределите и проанализируйте основных игроков в данной нише, включая их долю рынка, доходы и ценовые стратегии. \nИсследуйте новые тенденции и разрушительные технологии, которые, вероятно, повлияют на конкурентную среду в ближайшие 3-5 лет. \nОцените нормативные и правовые факторы, которые могут повлиять на данную нишу.",Legal Service,Юриспруденция,7.27
Draft a confidentiality agreement between [party 1] and [party 2],Составить проект соглашения о конфиденциальности между [сторона 1] и [сторона 2].,Составь проект соглашения о конфиденциальности между [сторона 1] и [сторона 2].,Legal Service,Юриспруденция,7.26
Provide a comprehensive review of current employment laws that businesses need to know.,"Предоставить полный обзор действующего трудового законодательства, которое необходимо знать предприятиям.","Предоставь полный обзор действующего трудового законодательства, которое необходимо знать предприятиям.",Legal Service,Юриспруденция,7.25
"Please provide feedback on the overall tone and language used in my cover letter, and suggest any changes to make it sound more professional. Here is my cover letter: <your cover letter>. Here is the job description I’m targeting: <job description>.","Пожалуйста, оцените общий тон и язык, использованный в моем сопроводительном письме, и предложите какие-либо изменения, чтобы оно звучало более профессионально. Вот мое сопроводительное письмо: <ваше сопроводительное письмо>. Вот описание вакансии, на которую я ориентируюсь: <описание вакансии>.","Пожалуйста, оцени общий тон и язык, использованный в моем сопроводительном письме, и предложи какие-либо изменения, чтобы оно звучало более профессионально. Вот мое сопроводительное письмо: <ваше сопроводительное письмо>. Вот описание вакансии, на которую я ориентируюсь: <описание вакансии>.",Legal Service,Юриспруденция,7.25
"Please provide an overview of the different types of investments available, including the risks and potential returns associated with each one.","Пожалуйста, представьте обзор различных видов инвестиций, включая риски и потенциальную доходность, связанные с каждым из них.","Пожалуйста, представь обзор различных видов инвестиций, включая риски и потенциальную доходность, связанные с каждым из них.",Legal Service,Юриспруденция,7.22
"Create a project plan that outlines the goals, objectives, methods, and expected outcomes of the proposed project.","Создать план проекта, в котором излагаются цели, задачи, методы и ожидаемые результаты предлагаемого проекта.","Создай план проекта, в котором излагаются цели, задачи, методы и ожидаемые результаты предлагаемого проекта.",Legal Service,Юриспруденция,7.22
Develop a template for client intake forms for a bankruptcy law practice.,Разработать шаблон формы приема клиентов для юридической практики по банкротству.,Разработай шаблон формы приема клиентов для юридической практики по банкротству.,Legal Service,Юриспруденция,7.21
Write a guide on how to work with brands as an affiliate marketer.,Написать руководство по работе с брендами в качестве аффилированного маркетолога.,Напиши руководство по работе с брендами в качестве аффилированного маркетолога.,Legal Service,Юриспруденция,7.21
Draft a prenuptial agreement,Составить проект брачного договора,Составь проект брачного договора,Legal Service,Юриспруденция,7.2
What is the difference between [legal term 1] and [legal term 2]?,В чем разница между [юридическим термином 1] и [юридическим термином 2]?,В чем разница между [юридическим термином 1] и [юридическим термином 2]?,Legal Service,Юриспруденция,7.17
What is the definition of [legal term] in [jurisdiction]?,Каково определение [юридического термина] в [юрисдикции]?,Каково определение юридического термина в юрисдикции?,Legal Service,Юриспруденция,7.17
Generate a press release announcing our company’s latest partnership,"Подготовить пресс-релиз, сообщающий о новом партнерстве нашей компании","Подготовь пресс-релиз, сообщающий о новом партнерстве нашей компании.",Legal Service,Юриспруденция,7.17
Can you suggest the top methods for securing funding for a new business venture?,Можете ли вы предложить основные способы получения финансирования для нового коммерческого предприятия?,Можете ли вы предложить основные способы получения финансирования для нового коммерческого предприятия?,Legal Service,Юриспруденция,7.17
What is the origin of [legal term]?,Каково происхождение [юридического термина]?,Каково происхождение юридического термина?,Legal Service,Юриспруденция,7.17
What is the meaning of [legal term]?,Каково значение [юридического термина]?,Каково значение юридического термина?,Legal Service,Юриспруденция,7.17
Write a proposal for offering pro bono services to a local nonprofit organization.,Напишите предложение о предоставлении услуг pro bono местной некоммерческой организации.,Напишите предложение о предоставлении услуг pro bono местной некоммерческой организации.,Legal Service,Юриспруденция,7.17
Generate a list of effective ways to handle returns and refunds in dropshipping.,Составить список эффективных способов обработки возвратов и возмещений в дропшиппинге.,Составь список эффективных способов обработки возвратов и возмещений в дропшиппинге.,Legal Service,Юриспруденция,7.16
"I want you to act as my social media manager and write an interesting and engaging Twitter bio for <your brand name, niche, and industry/profession>. The Twitter bio should accurately represent my brand and appeal to my target audience <provide details of your target audience>. Please take into consideration the interests, values, and needs of the target audience to ensure that the bio effectively communicates the unique selling proposition of the brand.","Я хочу, чтобы вы выступили в роли моего менеджера по социальным сетям и написали интересную и увлекательную биографию в Twitter для <название вашего бренда, ниша и отрасль/профессия>. Биография в Twitter должна точно представлять мой бренд и обращаться к моей целевой аудитории <укажите подробную информацию о вашей целевой аудитории>. Пожалуйста, примите во внимание интересы, ценности и потребности целевой аудитории, чтобы биография эффективно передавала уникальное торговое предложение бренда.","Я хочу, чтобы вы выступили в роли моего менеджера по социальным сетям и написали интересную и увлекательную биографию в Twitter для моего бренда, ниши и отрасли/профессии. Составьте биографию в Twitter, которая точно представляет мой бренд и обращается к моей целевой аудитории, подробно указав информацию о ней. Пожалуйста, примите во внимание интересы, ценности и потребности целевой аудитории, чтобы биография эффективно передавала уникальное торговое предложение бренда.",Consulting,Консалтинг,08.09
Develop a step-by-step guide to train new sales representatives on closing high-value deals.,Разработать пошаговое руководство по обучению новых торговых представителей закрытию дорогостоящих сделок.,Составь пошаговое руководство по обучению новых торговых представителей закрытию дорогостоящих сделок.,Consulting,Консалтинг,8.0
"I want you to as a senior market research analyst in <industry/niche>. Your task is to analyze the market potential and opportunity for <describe your business idea>. Your analysis should include information on the key trends driving this opportunity, the market size, growth potential, target customer segments, and competitive landscape. Additionally, please provide any relevant data or statistics to support your analysis.","Я приглашаю вас на должность старшего аналитика по исследованию рынка в <отрасль/ниша>. Ваша задача - проанализировать потенциал и возможности рынка для <опишите вашу бизнес-идею>. Ваш анализ должен включать информацию о ключевых тенденциях, определяющих эту возможность, размере рынка, потенциале роста, целевых сегментах потребителей и конкурентной среде. Кроме того, пожалуйста, приведите все необходимые данные или статистику, подтверждающие ваш анализ.","Я приглашаю вас на должность старшего аналитика по исследованию рынка в <отрасль/ниша>. Ваша задача - проанализировать потенциал и возможности рынка для <опишите вашу бизнес-идею>. Ваш анализ должен включать информацию о ключевых тенденциях, определяющих эту возможность, размере рынка, потенциале роста, целевых сегментах потребителей и конкурентной среде. Кроме того, пожалуйста, приведите все необходимые данные или статистику, подтверждающие ваш анализ.",Consulting,Консалтинг,7.99
"Identify 5 personal branding archetypes that are effective for social selling on LinkedIn. For each archetype, provide a brief description of its key traits and how they can be leveraged for building an authentic personal brand on LinkedIn.","Определите 5 архетипов персонального брендинга, которые эффективны для социальных продаж в LinkedIn. Для каждого архетипа дайте краткое описание его ключевых черт и того, как их можно использовать для создания аутентичного личного бренда в LinkedIn.","Определи 5 архетипов персонального брендинга, которые эффективны для социальных продаж в LinkedIn. Для каждого архетипа дай краткое описание его ключевых черт и то, как их можно использовать для создания аутентичного личного бренда в LinkedIn.",Consulting,Консалтинг,7.9
"I want to hire you to help me create a video content strategy for my YouTube channel. My target audience is <provide details of your target audience>, and I would like to create content that is informative, engaging, and entertaining. Please provide a detailed plan that outlines the type of content we should create, the frequency of posts, and the key themes we should focus on.","Я хочу нанять вас, чтобы вы помогли мне разработать стратегию создания видеоконтента для моего канала на YouTube. Моя целевая аудитория - <укажите подробную информацию о вашей целевой аудитории>, и я хотел бы создавать информативный, увлекательный и интересный контент. Пожалуйста, предоставьте подробный план с указанием типа контента, частоты размещения и ключевых тем, на которых мы должны сосредоточиться.","Я хочу нанять тебя, чтобы ты помог мне разработать стратегию создания видеоконтента для моего канала на YouTube. Моя целевая аудитория - <укажи подробную информацию о твоей целевой аудитории>, и я хотел бы создавать информативный, увлекательный и интересный контент. Пожалуйста, предоставь подробный план с указанием типа контента, частоты размещения и ключевых тем, на которых мы должны сосредоточиться.",Consulting,Консалтинг,7.87
"Please provide me with tips and guidance on appropriate attire and body language for a job interview <include details on the job position/type of job, the field you’re applying for, and the type of company/organization you will be interviewing with>. Also, please advise me on what I should wear to the interview, how I should present myself nonverbally to make a good impression, and any body language mistakes I should avoid during the interview.","Пожалуйста, предоставьте мне советы и рекомендации по надлежащей одежде и языку тела для собеседования на работу <укажите должность/тип работы, сферу деятельности, на которую вы претендуете, и тип компании/организации, в которой вы будете проходить собеседование>. Кроме того, посоветуйте, пожалуйста, что мне следует надеть на собеседование, как мне следует невербально преподнести себя, чтобы произвести хорошее впечатление, и каких ошибок в языке жестов мне следует избегать во время собеседования.","Пожалуйста, предоставь мне советы и рекомендации по надлежащей одежде и языку тела для собеседования на работу <укажи должность/тип работы, сферу деятельности, на которую ты претендуешь, и тип компании/организации, в которой ты будешь проходить собеседование>. Кроме того, посоветуй, пожалуйста, что мне следует надеть на собеседование, как мне следует невербально преподнести себя, чтобы произвести хорошее впечатление, и каких ошибок в языке жестов мне следует избегать во время собеседования.",Consulting,Консалтинг,7.86
Draft a will,Составить завещание,Составь завещание,Consulting,Консалтинг,7.85
I want you to act as a salesperson <include the product details you want ChatGPt to sell>. Your task is to identify and write explanations about the most effective techniques for objection handling in sales. Your goal is to handle objections effectively and ultimately close the sale.,"Я хочу, чтобы вы выступили в роли продавца <включите сведения о товаре, который вы хотите, чтобы продавал ChatGPt>. Ваша задача - определить и написать пояснения к наиболее эффективным техникам работы с возражениями в продажах. Ваша цель - эффективно работать с возражениями и в конечном итоге завершить продажу.","Я хочу, чтобы ты выступил в роли продавца <включи сведения о товаре, который ты хочешь, чтобы продавал ChatGPt>. Твоя задача - определить и написать пояснения к наиболее эффективным техникам работы с возражениями в продажах. Твоя цель - эффективно работать с возражениями и в конечном итоге завершить продажу.",Consulting,Консалтинг,7.83
"Craft a guide on legal considerations in affiliate marketing, such as disclosure and contracts.","Составить руководство по юридическим аспектам партнерского маркетинга, таким как раскрытие информации и контракты.","Составь руководство по юридическим аспектам партнерского маркетинга, таким как раскрытие информации и контракты.",Consulting,Консалтинг,7.79
Draft a divorce agreement,Составить проект соглашения о разводе,Составь проект соглашения о разводе,Consulting,Консалтинг,7.76
"I want you to act as a professional financial analyst. I’ll provide you with the industry or sector I’m interested in investing in. You will, based on this, conduct a thorough analysis of the market trends, growth prospects, and investment opportunities in that industry or sector. Here are details on the industry or sector I’m interested in investing in: <related information>.","Я хочу, чтобы вы выступили в роли профессионального финансового аналитика. Я предоставлю вам отрасль или сектор, в котором я заинтересован в инвестировании. На основе этого вы проведете тщательный анализ рыночных тенденций, перспектив роста и инвестиционных возможностей в данной отрасли или секторе. Вот подробная информация об отрасли или секторе, в котором я заинтересован в инвестировании: <справочная информация>.","Я хочу, чтобы ты выступил в роли профессионального финансового аналитика. Я предоставлю тебе отрасль или сектор, в котором я заинтересован в инвестировании. На основе этого ты проведешь тщательный анализ рыночных тенденций, перспектив роста и инвестиционных возможностей в данной отрасли или секторе. Вот подробная информация об отрасли или секторе, в котором я заинтересован в инвестировании: <справочная информация>.",Consulting,Консалтинг,7.72
Draft a power of attorney form,Составить бланк доверенности,Составь бланк доверенности,Consulting,Консалтинг,7.7
Write me an excel formula to use the DATEVALUE and TIMEVALUE function to convert a date and time text string into a date and time serial number,Напишите формулу excel для использования функций DATEVALUE и TIMEVALUE для преобразования текстовой строки даты и времени в порядковый номер даты и времени,Напиши формулу excel для использования функций DATEVALUE и TIMEVALUE для преобразования текстовой строки даты и времени в порядковый номер даты и времени.,Consulting,Консалтинг,7.66
